"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 02 19:30:57 GMT 2025","Sun Mar 02 19:30:58 GMT 2025","564","test","test_trainer","TestTrainerAPi","","","test_get_trainer_by_id","
        Test for getting trainer by trainer ID
        "
"passed","Sun Mar 02 19:30:53 GMT 2025","Sun Mar 02 19:30:54 GMT 2025","789","test","test_pokemons","TestPokemonsAPI","","","test_create_pokemon","
        Test that pokemon can be created
        "
"passed","Sun Mar 02 19:30:53 GMT 2025","Sun Mar 02 19:30:54 GMT 2025","1532","test","test_pokemons","TestPokemonsAPI","","","test_delete_pokemon","
        Test that pokemon can be deleted
        "
"passed","Sun Mar 02 19:30:53 GMT 2025","Sun Mar 02 19:30:53 GMT 2025","781","test","test_pokemons","TestPokemonsAPI","","","test_get_pokemon_by_trainer_id","
        Test that pokemons can be retrieved by trainer id
        "
"passed","Sun Mar 02 19:30:53 GMT 2025","Sun Mar 02 19:30:54 GMT 2025","1531","test","test_pokemons","TestPokemonsAPI","","","test_change_pokemon","
        Test that pokemon can be changed
        "
"passed","Sun Mar 02 19:30:56 GMT 2025","Sun Mar 02 19:30:57 GMT 2025","720","test","test_trainer","TestTrainerAPi","","","test_change_trainer","
        Test for changing trainer
        "
